# Logfile created on 2017-08-19 02:22:21 +1000 by logger.rb/56815
I, [2017-08-19T02:22:21.462900 #3363]  INFO -- : Bake My Day v0.1.0 Populating Menu... 

A, [2017-08-19T02:22:21.463073 #3363]   ANY -- : 	Item 0 found.
A, [2017-08-19T02:22:21.463132 #3363]   ANY -- : 	Item 0 found.
A, [2017-08-19T02:22:21.463196 #3363]   ANY -- : 	Item 1 found.
A, [2017-08-19T02:22:21.463248 #3363]   ANY -- : 	Item 1 found.
A, [2017-08-19T02:22:21.463299 #3363]   ANY -- : 	Item 1 found.
A, [2017-08-19T02:22:21.463360 #3363]   ANY -- : 	Item 2 found.
A, [2017-08-19T02:22:21.463411 #3363]   ANY -- : 	Item 2 found.
A, [2017-08-19T02:22:21.463462 #3363]   ANY -- : 	Item 2 found.
A, [2017-08-19T02:22:21.463524 #3363]   ANY -- : VS5 Vegemite Scroll
A, [2017-08-19T02:22:21.463598 #3363]   ANY -- : 3 at $ 6.99
A, [2017-08-19T02:22:21.463653 #3363]   ANY -- : 5 at $ 8.99
A, [2017-08-19T02:22:21.463702 #3363]   ANY -- : MB11 Blueberry Muffin
A, [2017-08-19T02:22:21.463793 #3363]   ANY -- : 2 at $ 9.95
A, [2017-08-19T02:22:21.463847 #3363]   ANY -- : 5 at $ 16.95
A, [2017-08-19T02:22:21.463898 #3363]   ANY -- : 8 at $ 24.95
A, [2017-08-19T02:22:21.463947 #3363]   ANY -- : CF Croissant
A, [2017-08-19T02:22:21.463998 #3363]   ANY -- : 3 at $ 5.95
A, [2017-08-19T02:22:21.464050 #3363]   ANY -- : 5 at $ 9.95
A, [2017-08-19T02:22:21.464102 #3363]   ANY -- : 9 at $ 16.99
A, [2017-08-19T02:22:21.464163 #3363]   ANY -- : 
[Quantity]<space>[Item Code] >> 
D, [2017-08-19T02:22:25.178162 #3363] DEBUG -- : 
Input.new: { quantity: 73, item code: SDJFHLJ }

A, [2017-08-19T02:22:25.178407 #3363]   ANY -- : 	Item SDJFHLJ not found.
A, [2017-08-19T02:22:25.178556 #3363]   ANY -- : 	Item SDJFHLJ not found.
D, [2017-08-19T02:22:25.178696 #3363] DEBUG -- : 
OrderItem.new: { remaining_units: 73 menu_item: -1 }

A, [2017-08-19T02:22:25.178791 #3363]   ANY -- : Item with code: SDJFHLJ was not found.
